Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Backtracking,10,2,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,2,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009992122650146484,45
Backtracking,10,3,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,3,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,4,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009999275207519531,45
Forward Checking,10,4,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,5,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,5,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009999275207519531,45
Backtracking,10,6,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,6,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,7,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,7,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009999275207519531,45
Backtracking,10,8,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,8,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,9,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009999275207519531,45
Forward Checking,10,9,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,10,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,10,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009999275207519531,45
Backtracking,10,11,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,11,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,12,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0010001659393310547,45
Forward Checking,10,12,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,13,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Forward Checking,10,13,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,14,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009999275207519531,45
Forward Checking,10,14,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
Backtracking,10,15,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
