Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Hill Climbing,10,1,"[7, 9, 0, 2, 8, 6, 3, 1, 5, 9]",2,False,0.0030062198638916016,4
Simulated Annealing,10,1,"[9, 7, 4, 0, 9, 5, 1, 8, 6, 3]",1,False,0.0054738521575927734,688
Hill Climbing,10,2,"[6, 0, 3, 5, 9, 8, 1, 4, 2, 7]",1,False,0.004004001617431641,5
Simulated Annealing,10,2,"[9, 7, 4, 2, 0, 6, 1, 6, 8, 5]",3,False,0.004983186721801758,688
Hill Climbing,10,3,"[3, 7, 4, 8, 5, 9, 6, 0, 2, 7]",1,False,0.003495454788208008,5
Simulated Annealing,10,3,"[7, 0, 8, 3, 9, 6, 2, 5, 1, 6]",1,False,0.005513668060302734,688
Hill Climbing,10,4,"[6, 2, 7, 1, 8, 5, 9, 0, 3, 4]",1,False,0.0024940967559814453,4
Simulated Annealing,10,4,"[1, 8, 5, 0, 9, 9, 4, 2, 7, 3]",2,False,0.008144140243530273,688
Hill Climbing,10,5,"[5, 2, 4, 6, 0, 9, 6, 1, 3, 7]",1,False,0.006537199020385742,6
Simulated Annealing,10,5,"[9, 1, 6, 4, 7, 0, 7, 5, 2, 8]",2,False,0.009486198425292969,688
Hill Climbing,10,6,"[4, 7, 0, 6, 1, 2, 8, 8, 3, 9]",2,False,0.0039865970611572266,4
Simulated Annealing,10,6,"[4, 2, 7, 3, 1, 8, 1, 9, 0, 5]",1,False,0.007496356964111328,688
Hill Climbing,10,7,"[1, 3, 6, 9, 7, 0, 4, 0, 8, 5]",1,False,0.0029900074005126953,5
Simulated Annealing,10,7,"[2, 4, 9, 7, 0, 5, 1, 8, 6, 3]",1,False,0.005493879318237305,688
Hill Climbing,10,8,"[6, 4, 0, 1, 8, 5, 3, 9, 7, 2]",1,False,0.0009965896606445312,2
Simulated Annealing,10,8,"[7, 2, 4, 9, 1, 8, 5, 3, 0, 0]",1,False,0.0055353641510009766,688
Hill Climbing,10,9,"[0, 6, 4, 1, 8, 4, 9, 3, 5, 2]",1,False,0.002991914749145508,4
Simulated Annealing,10,9,"[4, 0, 5, 8, 4, 7, 1, 3, 9, 6]",2,False,0.00585174560546875,688
Hill Climbing,10,10,"[2, 5, 2, 6, 9, 3, 5, 0, 4, 1]",2,False,0.0029981136322021484,4
Simulated Annealing,10,10,"[0, 9, 1, 6, 0, 3, 1, 8, 5, 2]",2,False,0.0039865970611572266,688
Hill Climbing,10,11,"[9, 4, 0, 5, 8, 6, 1, 6, 2, 7]",2,False,0.0029897689819335938,4
Simulated Annealing,10,11,"[9, 0, 3, 7, 6, 8, 1, 5, 4, 2]",2,False,0.00449681282043457,688
Hill Climbing,10,12,"[2, 3, 9, 4, 1, 8, 0, 7, 4, 0]",3,False,0.002990245819091797,4
Simulated Annealing,10,12,"[4, 9, 9, 6, 4, 1, 8, 2, 5, 3]",3,False,0.004601955413818359,688
Hill Climbing,10,13,"[7, 5, 0, 6, 3, 6, 8, 9, 4, 1]",3,False,0.0009963512420654297,2
Simulated Annealing,10,13,"[7, 4, 1, 1, 8, 5, 2, 2, 9, 6]",2,False,0.004984140396118164,688
Hill Climbing,10,14,"[9, 4, 2, 5, 3, 7, 0, 8, 6, 1]",1,False,0.0024962425231933594,5
Simulated Annealing,10,14,"[3, 7, 7, 1, 6, 9, 5, 0, 8, 3]",2,False,0.0039937496185302734,688
Hill Climbing,10,15,"[8, 3, 8, 2, 7, 1, 6, 0, 9, 4]",1,False,0.0016007423400878906,1
Simulated Annealing,10,15,"[8, 2, 5, 1, 8, 0, 3, 6, 2, 9]",2,False,0.0044939517974853516,688
Hill Climbing,10,16,"[4, 2, 7, 3, 1, 8, 5, 9, 0, 6]",1,False,0.0029935836791992188,6
Simulated Annealing,10,16,"[6, 3, 7, 2, 7, 5, 1, 8, 0, 9]",2,False,0.0039861202239990234,688
Hill Climbing,10,17,"[6, 8, 1, 4, 0, 9, 2, 8, 5, 7]",3,False,0.0016238689422607422,2
Simulated Annealing,10,17,"[1, 5, 8, 2, 7, 3, 6, 9, 1, 4]",1,False,0.003992795944213867,688
Hill Climbing,10,18,"[2, 6, 3, 7, 0, 8, 5, 4, 1, 9]",1,False,0.00299072265625,5
Simulated Annealing,10,18,"[3, 8, 0, 2, 4, 7, 1, 4, 9, 5]",1,False,0.004587411880493164,688
Hill Climbing,10,19,"[8, 1, 5, 7, 2, 0, 5, 3, 9, 6]",2,False,0.0009996891021728516,3
Simulated Annealing,10,19,"[6, 3, 0, 2, 5, 7, 9, 4, 8, 1]",1,False,0.003986835479736328,688
Hill Climbing,10,20,"[5, 7, 1, 6, 0, 9, 4, 8, 3, 2]",1,False,0.0044939517974853516,6
Simulated Annealing,10,20,"[6, 0, 5, 7, 1, 3, 0, 2, 4, 9]",2,False,0.0039899349212646484,688
Hill Climbing,10,21,"[6, 0, 5, 2, 9, 5, 3, 1, 4, 7]",2,False,0.001993417739868164,4
